labels,baseline,n_pairs,mean_diff,ci_low,ci_high,wins,ties,losses,wilcoxon_W,p_wilcoxon,rank_biserial,p_ttest,cohen_dz,p_holm
fine,fedbn,10,-0.16267409070934874,-0.18734342748936408,-0.14341043524493347,0,0,10,0.0,0.001953125,-1.0,2.632088467454197e-07,-4.301017765932492,0.00390625
fine,fedbn_sfs,10,-0.16438917490685473,-0.18732985986255926,-0.1450217972616199,0,0,10,0.0,0.001953125,-1.0,1.5602317486067086e-07,-4.569338264580335,0.00390625
grouped,fedbn,10,-0.10572640129612358,-0.12490694384265341,-0.08575482918507778,0,0,10,0.0,0.001953125,-1.0,3.4180851197394456e-06,-3.179714769890395,0.00390625
grouped,fedbn_sfs,10,-0.11191168982649688,-0.12918028919998348,-0.09277096072148243,0,0,10,0.0,0.001953125,-1.0,1.1133024831301235e-06,-3.633610341701449,0.00390625
