dataset,labels,baseline,n_pairs,mean_diff,ci_low,ci_high,wins,ties,losses,wilcoxon_W,p_wilcoxon,rank_biserial,p_ttest,cohen_dz,p_holm
ciciot2023,fine,fedavg,5,0.04875726253175405,0.03384443735748992,0.06127877485229534,5,0,0,0.0,0.0625,1.0,0.003441461183338387,2.7727934040069355,0.625
ciciot2023,fine,fedlc,5,0.07850028461551586,0.07144758465219778,0.08640418431333705,5,0,0,0.0,0.0625,1.0,4.601646239253332e-05,8.458864403813571,0.625
ciciot2023,fine,fedlc_sfs,5,0.052282810280452306,0.0356136441682338,0.06895197639267081,5,0,0,0.0,0.0625,1.0,0.005818378562659879,2.400265045409604,0.625
ciciot2023,fine,fedprox,5,0.04684610299451887,0.029760121104359837,0.0639320848846779,5,0,0,0.0,0.0625,1.0,0.00874832759544188,2.139578010604451,0.625
ciciot2023,fine,fedprox_sfs,5,0.045170848000226416,0.03624855282132207,0.05507655766576556,5,0,0,0.0,0.0625,1.0,0.0014198034215846176,3.5124629868781723,0.625
ciciot2023,fine,fedrs,5,0.05016366970565257,0.03239435645633872,0.06680699373167356,5,0,0,0.0,0.0625,1.0,0.007108157658417819,2.2693716940430364,0.625
ciciot2023,fine,fedrs_sfs,5,0.0450399126309808,0.032181543177550995,0.05840161503396404,5,0,0,0.0,0.0625,1.0,0.004661969199988503,2.5520883773630088,0.625
ciciot2023,fine,scaffold,5,-0.05275702268128466,-0.07142398650999811,-0.03269160521211254,0,0,5,0.0,0.0625,-1.0,0.009472108278572448,-2.091409841651903,0.625
ciciot2023,fine,scaffold_sfs,5,0.058979133683428955,0.03682636123451797,0.07722374559405512,5,0,0,0.0,0.0625,1.0,0.007761854613699648,2.21365481085257,0.625
ciciot2023,fine,statavg,5,0.05060625373571452,0.044565670137087635,0.0608473945184441,5,0,0,0.0,0.0625,1.0,0.0005509890424331673,4.495054434715735,0.625
ciciot2023,grouped,fedavg,5,0.093038800322041,0.07624485229014095,0.11200549542868592,5,0,0,0.0,0.0625,1.0,0.0008099959194848097,4.067997672494633,0.625
ciciot2023,grouped,fedlc,5,0.06345345367981578,0.03855682992458096,0.0883500774350506,5,0,0,0.0,0.0625,1.0,0.013478702245972897,1.8871953544102071,0.625
ciciot2023,grouped,fedlc_sfs,5,0.0280788312532674,0.01697716673003009,0.04175059205858178,5,0,0,0.0,0.0625,1.0,0.017069543731592703,1.7585904193198993,0.625
ciciot2023,grouped,fedprox,5,0.07442719378574177,0.06414801496762432,0.0802351109961992,5,0,0,0.0,0.0625,1.0,0.00013025551934583296,6.500680212536483,0.625
ciciot2023,grouped,fedprox_sfs,5,0.03282318430611166,0.019138892649790407,0.04504890840717064,5,0,0,0.0,0.0625,1.0,0.013160702501708739,1.9005457555847296,0.625
ciciot2023,grouped,fedrs,5,0.08315828520127141,0.05875087822626897,0.1102752001324768,5,0,0,0.0,0.0625,1.0,0.003865069405566228,2.686584430557259,0.625
ciciot2023,grouped,fedrs_sfs,5,0.0466178654390617,0.027752793753858373,0.06292095419471037,5,0,0,0.0,0.0625,1.0,0.009243523898795765,2.1061252443936334,0.625
ciciot2023,grouped,scaffold,5,-0.02555522783250399,-0.041775745978611244,-0.013673279293019914,0,0,5,0.0,0.0625,-1.0,0.03535024478788411,-1.3976107621849359,0.625
ciciot2023,grouped,scaffold_sfs,5,0.03257682377863595,0.017774019867269786,0.04841746938209788,5,0,0,0.0,0.0625,1.0,0.021228396443613705,1.6451595843286537,0.625
ciciot2023,grouped,statavg,5,0.046478709721239374,0.029825071759566234,0.06174876949004578,5,0,0,0.0,0.0625,1.0,0.006848346213299335,2.29327871854255,0.625
edgeiiot,fine,fedavg,5,0.019415143514507238,-0.02552163883063996,0.06435192585965444,3,0,2,5.0,0.625,0.3333333333333333,0.49651163314286023,0.33412566048619446,1.0
edgeiiot,fine,fedlc,5,0.14047246676661912,0.07122024612691373,0.21150727736151445,5,0,0,0.0,0.0625,1.0,0.02566667089636847,1.5502393494849422,0.625
edgeiiot,fine,fedlc_sfs,5,0.08987212230730486,0.029713785017536565,0.14187860488848475,4,0,1,1.0,0.125,0.8666666666666667,0.04227969701463585,1.3159688686788176,1.0
edgeiiot,fine,fedprox,5,0.011673862418880554,-0.04937101314219703,0.07303391949583948,2,0,3,6.0,0.8125,0.2,0.7595446188095609,0.1465699130778182,1.0
edgeiiot,fine,fedprox_sfs,5,0.07178305293164175,0.024557866791027293,0.11900823907225622,4,0,1,1.0,0.125,0.8666666666666667,0.059353915100987115,1.1677010348138843,1.0
edgeiiot,fine,fedrs,5,0.0166406278322506,-0.02440224258784831,0.05768349825234951,3,0,2,5.0,0.625,0.3333333333333333,0.5237359644987741,0.31206664781129695,1.0
