component,n_pairs,mean_gain_pp,median_gain_pp,p_wilcoxon
SFS,80,4.724192727784687,4.288320573438176,4.2974469040719034e-07
CAA,80,-2.15642692715809,-1.0384026649443934,0.003598748848483582
PCL,80,3.6204085140724223,3.5462823368207386,0.0001043721781632093
