method.tau,dataset,method,mean,std,count
0.25,ciciot2023,fedstap,0.531769055296396,0.007898233941456416,3
0.25,edgeiiot,fedstap,0.6968725793174837,0.006096948750582137,3
0.5,ciciot2023,fedstap,0.5477791705482092,0.00689950320987428,3
0.5,edgeiiot,fedstap,0.7309918782392778,0.014311398008241466,3
1.0,ciciot2023,fedstap,0.5658322109840425,0.0001577513370997947,3
1.0,edgeiiot,fedstap,0.7356278191061336,0.048404593067399575,3
2.0,ciciot2023,fedstap,0.4979221071391391,0.006641972804687153,3
2.0,edgeiiot,fedstap,0.7162784092814992,0.05457299438434155,3
